date,weather,max,min,power,direction
2011-01-01,雨夹雪,5,-1,微风,无持续风向
2011-01-02,多云,7,0,微风,无持续风向~北风
2011-01-03,雨夹雪,6,0,微风,北风
2011-01-04,雨夹雪~阴,4,-2,微风,北风
2011-01-05,多云,5,-1,微风,北风
2011-01-06,多云~晴,6,0,微风,北风
2011-01-07,阴,6,0,微风,东北风
2011-01-08,雨夹雪,4,-2,微风,东北风
2011-01-09,雨夹雪,4,-2,4-5级,北风
2011-01-10,小雪,2,-1,微风,北风
2011-01-11,中雪~小雪,4,-2,3-4级~4-5级,东北风~北风
2011-01-12,阴,5,0,微风,北风
2011-01-13,多云,6,-1,微风,东北风
2011-01-14,多云~晴,4,-3,微风,北风~东风
2011-01-15,多云~阴,4,-2,3-4级,北风
2011-01-16,阴~雨夹雪,3,-2,微风,北风
2011-01-26,阴~雨夹雪,5,0,微风,东风
2011-01-29,多云,4,-2,微风,东北风
2011-01-30,多云~晴,5,-1,微风,东北风
2011-01-31,晴~多云,6,0,微风,北风
2011-02-01,多云,9,1,微风,北风
2011-02-02,晴,11,3,微风,南风
2011-02-03,晴~多云,15,3,微风,南风~东南风
2011-02-04,晴~多云,15,3,微风,无持续风向
2011-02-05,多云~晴,16,5,微风,东北风
2011-02-06,阴~多云,15,4,微风,南风
2011-02-07,多云,19,6,微风,无持续风向
2011-02-08,多云,19,6,微风,北风
2011-02-09,阴~小雨,13,3,5-6级~4-5级,北风
2011-02-10,中雨~小雨,5,0,微风,东北风
2011-02-11,多云,5,-1,微风,北风
2011-02-12,多云~小雨,7,1,微风,北风
2011-02-13,雨夹雪,4,-1,微风,东北风
2011-02-14,阴~多云,6,-2,微风,无持续风向
2011-02-15,多云~阴,7,1,微风,东北风
2011-02-16,小雨,6,2,微风,东风
2011-02-17,小雨~阴,6,3,微风,东北风
2011-02-18,阴~小雨,7,3,微风,北风
2011-02-19,阴~多云,8,2,微风,无持续风向
2011-02-20,多云~晴,11,2,微风,东北风
2011-02-21,晴~多云,13,4,微风,东北风
2011-02-22,晴~多云,15,6,微风,东风
2011-02-23,多云,16,8,微风,东南风
2011-02-24,晴~多云,21,8,微风,东风
2011-02-25,阴~阵雨,13,6,微风,东北风
2011-02-26,多云~阴,17,8,微风,无持续风向
2011-02-27,多云~阵雨,20,6,微风,南风~北风
2011-02-28,小雨,8,4,5-6级~4-5级,北风
2011-03-01,阴~多云,7,2,微风,北风
2011-03-02,晴~多云,9,1,微风,无持续风向
2011-03-03,阴~多云,9,1,微风,北风
2011-03-04,晴~多云,12,3,微风,北风
2011-03-05,多云~小到中雨,14,4,微风,东风
2011-03-06,中雨~小雨,9,4,微风,无持续风向
2011-03-07,多云~晴,11,3,微风,北风
2011-03-08,晴~多云,16,5,微风,无持续风向
2011-03-09,多云,14,3,微风,北风~南风
2011-03-10,晴~多云,18,6,微风,东北风
2011-03-11,多云~阴,16,7,微风,无持续风向
2011-03-12,多云~阴,20,9,微风,无持续风向
2011-03-13,多云~阵雨,22,8,3-4级,南风
2011-03-14,小雨~小到中雨,16,5,4-5级~5-6级,北风
2011-03-15,小雨~阴,8,3,5-6级~4-5级,北风
2011-03-16,多云,14,5,微风,北风
2011-03-17,多云,17,6,微风,无持续风向
2011-03-18,阴~阵雨,15,9,微风,南风
2011-03-19,阵雨,16,11,微风,南风
2011-03-20,阵雨~中雨,16,7,微风,东风~东北风
2011-03-21,中雨~小雨,8,3,5-6级~3-4级,北风
2011-03-22,小雨~阴,7,3,微风,无持续风向
2011-03-23,多云,11,4,微风,北风
2011-03-24,多云,15,4,微风,北风
2011-03-25,晴~多云,16,5,微风,北风
2011-03-26,晴~多云,16,6,微风,北风~南风
2011-03-27,多云~晴,17,6,微风,无持续风向
2011-03-28,晴,19,7,微风,南风
2011-03-29,多云~晴,17,7,微风,北风
2011-03-30,晴~多云,20,8,微风,东风
2011-03-31,晴~多云,22,11,微风,南风
2011-04-01,多云,24,11,微风,南风
2011-04-02,阴~小雨,18,7,微风~4-5级,东风~东北风
2011-04-03,小雨~阴,8,5,4-5级,东北风~北风
2011-04-04,多云,15,6,微风,北风
2011-04-05,晴~多云,17,9,微风,北风
2011-04-06,多云~阵雨,19,12,微风,无持续风向
2011-04-07,阵雨,17,11,微风,北风
2011-04-08,阴,17,10,微风,东风~南风
2011-04-09,阴~阵雨,22,15,微风,东南风
2011-04-10,阴~小雨,22,16,微风,东南风
2011-04-11,多云~晴,20,10,微风,北风
2011-04-12,晴~多云,22,12,微风,东风
2011-04-13,阴~多云,20,14,微风,南风
2011-04-14,阴~阵雨,27,16,微风,南风
2011-04-15,雷阵雨~中到大雨,26,16,3-4级~4-5级,南风~北风
2011-04-16,小雨~阴,18,10,4-5级,北风~东北风
2011-04-17,多云~晴,22,12,微风,东北风
2011-04-18,晴,21,10,4-5级~微风,北风
2011-04-19,晴,21,12,微风,北风~南风
2011-04-20,晴~多云,24,12,微风,北风~南风
2011-04-21,多云~阵雨,23,16,3-4级~4-5级,东南风~北风
2011-04-22,小雨~多云,21,13,4-5级~微风,北风
2011-04-23,晴~多云,25,15,微风,南风
2011-04-24,晴,25,15,微风,东北风~南风
2011-04-25,晴~多云,30,16,微风,南风
2011-04-26,晴~阵雨,34,19,4-5级,西南风
2011-04-27,多云,27,15,微风,北风
2011-04-28,晴~多云,27,15,微风,东南风~南风
2011-04-29,多云~阴,33,20,微风,南风
2011-04-30,阵雨,28,16,3-4级~4-5级,南风~北风
2011-05-01,阵雨~多云,27,16,3-4级,东北风
2011-05-02,多云~大雨,26,16,微风,东风
2011-05-03,阴,17,12,3-4级~微风,东北风
2011-05-04,阴~多云,17,12,微风,东风
2011-05-05,多云,25,16,微风,南风
2011-05-06,阴~多云,29,19,微风,东南风
2011-05-07,晴,33,21,4-5级~3-4级,西南风
2011-05-08,晴~多云,35,23,4-5级,西南风
2011-05-09,阴~多云,33,23,微风,南风
2011-05-10,多云~雷阵雨,35,23,微风,南风
2011-05-11,阵雨~阴,26,20,微风,北风
2011-05-12,阴~多云,26,18,微风,北风
2011-05-13,多云~晴,28,20,微风,北风~南风
2011-05-14,多云~阴,28,20,微风,南风
2011-05-15,多云~阵雨,26,18,微风,南风
2011-05-16,多云,28,18,微风,南风
2011-05-17,多云~晴,31,18,微风,南风
2011-05-18,晴,32,20,微风,无持续风向
2011-05-19,晴,35,23,微风,南风
2011-05-20,晴~多云,36,22,微风,南风
2011-05-21,阵雨,28,18,3-4级,北风
2011-05-22,阵雨~小到中雨,20,16,微风,无持续风向
2011-05-23,小雨~阴,17,15,微风,东北风
2011-05-24,阴,21,16,微风,东北风
2011-05-25,阴,23,18,微风,北风
2011-05-26,多云,28,18,微风,北风
2011-05-27,多云,28,18,微风,北风
2011-05-28,阴~多云,25,17,微风,东北风
2011-05-29,晴~多云,27,20,微风,东北风~东风
2011-05-30,多云,32,22,微风,南风
2011-05-31,多云~阵雨,30,22,微风,南风~北风
2011-06-01,阴~多云,28,21,微风,东北风
2011-06-02,多云~阵雨,31,21,微风,南风
2011-06-03,阴~阵雨,29,22,微风,南风
2011-06-04,中到大雨~大到暴雨,23,21,微风,南风
2011-06-05,阵雨~中雨,23,21,微风,北风
2011-06-06,大到暴雨~中到大雨,23,21,微风,东北风
2011-06-07,阵雨~多云,27,22,微风,东北风
2011-06-08,多云,33,24,微风,南风
2011-06-09,多云~阵雨,35,25,微风,南风
2011-06-10,中到大雨,28,24,微风,南风
2011-06-11,大到暴雨~中到大雨,23,21,微风,东北风
2011-06-12,阵雨~阴,28,22,微风,东北风
2011-06-13,阵雨,28,23,微风,无持续风向
2011-06-14,大雨~大到暴雨,23,21,微风,南风
2011-06-15,大到暴雨~中雨,24,20,微风,东北风
2011-06-16,阵雨~阴,26,22,微风,北风
2011-06-17,雷阵雨~大到暴雨,28,23,微风,南风
2011-06-18,大雨~大到暴雨,29,22,微风,南风~北风
2011-06-19,阵雨,24,21,微风,东风~东南风
2011-06-20,阴,29,23,微风,东风
2011-06-21,雷阵雨~多云,32,24,微风,东风
2011-06-22,多云,34,24,微风,南风
2011-06-23,多云,36,26,微风,南风
2011-06-24,雷阵雨,34,26,微风,东南风
2011-06-25,中到大雨~阵雨,31,24,3-4级,东北风
2011-06-26,多云,31,23,3-4级~微风,西北风~西风
2011-06-27,晴~多云,33,24,微风,南风
2011-06-28,雷阵雨,34,25,3-4级,东南风
2011-06-29,雷阵雨,33,25,微风,南风
2011-06-30,雷阵雨~多云,34,26,微风,西南风
2011-07-01,阵雨~多云,32,25,3-4级,南风
2011-07-02,晴~多云,36,27,微风,西南风
2011-07-03,晴~多云,37,28,3-4级,西南风
2011-07-04,雷阵雨~多云,36,28,微风,南风
2011-07-05,雷阵雨~多云,37,27,微风,南风
2011-07-06,多云,36,27,3-4级,南风
2011-07-07,多云,36,27,微风,南风
2011-07-08,雷阵雨~阵雨,34,27,微风,南风
2011-07-09,雷阵雨,32,26,微风,东北风
2011-07-10,雷阵雨~阴,34,26,3-4级,东南风
2011-07-11,多云,33,26,3-4级~微风,东南风~南风
2011-07-12,雷阵雨,33,25,微风,南风
2011-07-13,小到中雨~雷阵雨,32,25,微风,南风
2011-07-14,雷阵雨,32,26,3-4级,东南风~北风
2011-07-15,多云~阴,33,26,微风,南风
2011-07-16,雷阵雨~多云,33,26,3-4级,东南风
2011-07-17,雷阵雨~多云,33,25,微风,南风
2011-07-18,阵雨~雷阵雨,33,26,微风,东南风
2011-07-19,中雨~阵雨,30,25,3-4级,东北风
2011-07-20,多云,33,26,微风,南风
2011-07-21,雷阵雨~多云,34,26,微风,南风
2011-07-22,多云~晴,35,27,微风,南风
2011-07-23,雷阵雨~多云,35,27,微风,东南风
2011-07-24,雷阵雨~多云,36,27,微风,东风
2011-07-25,多云,38,27,3-4级,南风
2011-07-26,多云,38,28,微风,南风
2011-07-27,晴~多云,38,28,3-4级,南风
2011-07-28,晴~多云,37,28,3-4级,南风
2011-07-29,晴~多云,36,28,微风,东南风
2011-07-30,晴~多云,36,28,3-4级,南风
2011-07-31,多云,37,27,3-4级,东南风
2011-09-01,多云,31,24,3-4级,东北风
2011-09-02,多云,31,24,微风,东北风
2011-09-03,晴~多云,32,24,3-4级~微风,东北风
2011-09-04,晴~多云,31,23,微风,北风
2011-09-05,晴~多云,32,23,微风,东北风
2011-09-06,多云,30,22,微风,北风
2011-09-07,多云~阴,31,23,微风,东风
2011-09-08,雷阵雨~阵雨,31,23,微风,南风
2011-09-09,阵雨,27,23,微风,东北风
2011-09-10,阵雨~阴,26,22,微风,东北风
2011-09-11,多云,28,23,3-4级,东风
2011-09-12,多云,31,24,微风,东风
2011-09-13,多云~晴,33,24,微风,东南风
2011-09-14,晴~多云,34,25,微风,东南风
2011-09-15,晴~多云,34,24,微风,东南风
2011-09-16,多云,34,24,微风,东南风~东北风
2011-09-17,多云~阵雨,33,22,微风~3-4级,东北风
2011-09-18,小雨~阴,25,19,4-5级~3-4级,西北风
2011-09-19,多云~阴,24,18,4-5级~微风,北风
2011-09-20,阴,22,16,4-5级~3-4级,西北风
2011-09-21,多云,23,15,微风,东北风
2011-09-22,多云,25,16,微风,北风
2011-09-23,多云,26,17,微风,东北风
2011-09-24,晴~多云,26,18,微风,东北风
2011-09-25,小雨,27,21,微风,东北风
2011-09-26,阵雨,25,22,微风,东北风
2011-09-27,小雨,25,22,微风,东风
2011-09-28,多云~阴,28,23,微风,东风~东南风
2011-09-29,中雨~中到大雨,28,19,微风~4-5级,北风
2011-09-30,中到大雨~小雨,20,18,4-5级~3-4级,北风~东北风
2012-03-01,小雨~中雨,9,6,微风,东风
2012-03-02,中到大雨~大雨,8,4,微风,东风
2012-03-03,中雨,8,6,微风,东北风
2012-03-04,大雨,9,6,微风,东北风
2012-03-05,中雨~小雨,8,5,微风,北风~东北风
2012-03-06,阴~小到中雨,12,6,微风,东北风
2012-03-07,中雨,7,5,微风,东北风
2012-03-08,中雨~小到中雨,6,3,微风,东北风
2012-03-09,小雨~阴,6,2,微风,东北风
2012-03-10,多云,9,3,微风,东北风
2012-03-11,多云,9,1,微风,东风
2012-03-12,晴~多云,12,4,微风,东北风
2012-03-13,多云,13,5,微风,东风
2011-10-01,小雨,21,17,3-4级,东北风
2011-10-02,小雨,20,17,微风,东北风
2011-10-03,阴,20,16,3-4级,东北风
2011-10-04,阴,21,16,微风,东北风
2011-10-05,阴~多云,20,16,微风,北风
2011-10-06,多云,25,17,微风,东风
2011-10-07,多云,25,16,微风,北风
2012-03-14,多云~阵雨,16,7,微风,东南风
2012-03-15,阵雨~小到中雨,15,8,微风,东南风~南风
2012-03-16,多云,20,11,微风,东风
2012-03-17,阵雨~小到中雨,17,8,微风,无持续风向
2012-03-18,阴~阵雨,12,8,微风,东北风
2012-03-19,小到中雨~小雨,10,8,微风,东北风
2012-03-20,小雨~阴,10,6,微风,东北风~东南风
2012-03-21,多云,15,9,微风,东北风
2011-10-08,晴,26,17,微风,东风
2011-10-09,晴~多云,27,17,微风,东南风
2011-10-10,小雨~阴,25,20,微风,东北风
2011-10-11,小雨~阴,24,19,微风,东北风
2011-10-12,阴~阵雨,24,19,微风,东南风
2012-03-22,阵雨~大雨,22,8,微风~4-5级,东南风~北风
2012-03-23,小到中雨~多云,14,5,4-5级,北风
2012-03-24,晴,17,5,微风,北风
2012-03-25,晴,21,10,微风,西南风
2012-03-26,晴,23,10,微风,南风
2012-03-27,晴,23,10,微风,东风
2012-03-28,晴~多云,26,13,微风,东风~南风
2012-03-29,阵雨,22,11,微风,东风
2011-10-13,中到大雨~中雨,23,15,3-4级,北风
2011-10-14,阴~多云,23,15,微风,北风
2011-10-15,多云,24,13,微风,西北风
2011-10-16,晴,25,15,微风,北风
2011-10-17,晴,26,15,微风,东北风
2011-10-18,晴~多云,24,15,微风,东北风
2011-10-19,多云,23,16,3-4级,东北风
2011-10-20,小雨,22,17,微风,东北风
2011-10-21,阴~多云,24,17,微风,东北风
2012-03-30,大雨~小雨,16,8,4-5级~5-6级,北风
2012-03-31,多云,19,7,微风,北风
2011-10-22,晴~多云,25,16,微风,东北风
2011-10-23,多云~阵雨,25,17,微风,东南风
2011-10-24,中到大雨~小雨,21,13,3-4级~微风,北风~东北风
2011-10-25,阴~多云,17,12,3-4级~微风,北风
2011-10-26,多云,19,12,微风,东北风
2011-10-27,多云~阴,21,16,微风,东北风
2011-10-28,小雨,20,15,微风,东北风
2011-10-29,小雨~阴,20,16,微风,东风
2011-10-30,阴~多云,21,15,微风,东北风
2011-10-31,多云,24,16,微风,东风
2012-01-01,晴~多云,10,2,微风,东北风
2012-01-02,多云,9,4,微风,东北风~北风
2012-01-03,阴,7,0,微风,北风
2012-01-04,多云,4,-1,微风,无持续风向
2012-01-05,阴~小雨,5,0,微风,东风
2012-01-06,阴,5,2,微风,北风
2012-01-07,多云~阴,7,3,微风,东北风
2012-01-08,小雨~阴,7,4,微风,东风
2012-01-09,阴,6,4,微风,东北风
2012-01-10,阴,7,4,微风,东北风
2012-01-11,阴,8,4,微风,北风
2012-01-12,多云~阴,7,3,微风,东北风
2012-01-13,小雨,9,5,微风,东风
2011-12-01,阴,8,2,4-5级,西北风
2011-12-02,多云,8,2,3-4级~微风,西北风
2011-12-03,晴~多云,12,4,微风,北风
2011-12-04,晴~多云,13,5,微风,东北风~东风
2012-01-14,中到大雨,8,4,微风,东北风
2012-01-16,小雨~阴,6,3,微风,东北风
2012-01-17,多云~小雨,8,5,微风,东北风
2012-01-18,小到中雨~中雨,7,5,微风,东北风
2012-01-19,小雨,8,5,微风,东北风
2012-01-20,阴~小雨,7,1,微风~3-4级,北风
2012-01-21,雨夹雪~中到大雪,5,-1,3-4级,北风
2012-01-22,小雪~多云,2,-2,3-4级,北风
2011-12-05,多云~阴,14,8,微风,东风
2011-12-06,阴~小雨,16,10,微风,东南风
2011-12-07,中雨~小雨,14,6,3-4级~4-5级,东北风
2011-12-08,小雨~阴,7,2,4-5级~3-4级,北风
2011-12-09,多云,7,0,3-4级,北风
2011-12-10,晴,7,-1,微风,东北风
2011-12-11,晴,8,0,微风,北风
2011-12-12,多云,10,3,微风,北风~东北风
2011-12-13,多云,12,4,微风,东北风
2012-01-23,多云,3,-2,微风,北风
2012-01-24,多云~阴,3,-2,微风,无持续风向
2012-01-25,晴~多云,4,-1,微风,北风
2012-01-26,多云,7,-1,微风,东南风
2012-01-27,小雨,7,2,微风,东北风
2012-01-28,小雨,6,3,微风,北风
2012-01-29,小雨,6,3,微风,北风
2011-12-14,多云~阴,12,4,微风,北风
2011-12-15,小雨~阴,8,2,3-4级,北风
2011-12-16,晴,7,-1,微风,北风~东北风
2012-01-30,小雨~阴,6,2,微风,东北风
2012-01-31,多云,8,1,微风,东北风
2011-12-17,晴~多云,7,0,微风,北风~东北风
2011-12-18,多云,8,2,微风,北风
2011-12-19,多云,10,4,微风,北风
2011-12-20,小雨,11,4,微风,东风
2011-12-21,小雨~阴,8,1,3-4级~4-5级,北风
2011-12-22,阴~多云,6,-1,3-4级~微风,北风
2011-12-23,晴,8,-2,微风,北风
2011-12-24,晴,8,-1,3-4级,东北风
2011-12-25,晴,9,1,微风,北风
2011-12-26,多云,11,3,微风,东风
2011-12-27,多云~阴,10,5,微风,东风~东北风
2011-12-28,阴,12,6,微风,东风
2011-12-29,阴~多云,10,5,微风,无持续风向
2011-12-30,多云,9,3,微风,北风
2011-12-31,多云,10,3,微风,东北风
2011-11-01,多云,24,16,微风,东北风
2011-11-02,阵雨,23,18,微风,东风~东北风
2011-11-03,阵雨,21,17,微风,东北风
2011-11-04,阵雨,23,19,微风,东北风
2011-11-05,小到中雨~小雨,22,18,微风,东风
2011-11-06,阴,24,18,微风,北风
2011-11-07,阴~小雨,19,14,微风,北风
2011-11-08,小雨,17,12,微风,北风
2011-11-09,小到中雨~小雨,15,12,微风,北风
2011-11-10,小雨~多云,15,10,微风,西北风~北风
2011-11-11,多云~晴,17,9,微风,北风
2011-11-12,晴,21,10,微风,东南风
2011-11-13,多云~阴,20,11,微风,东风
2011-11-14,多云,20,13,微风,东北风~东风
2011-11-15,多云,20,13,微风,东风
2011-11-16,多云~阴,22,15,微风,东南风
2011-11-17,多云~阴,24,18,微风,东南风
2011-11-18,中雨,23,12,微风,东南风~北风
2011-11-19,小雨~阴,16,10,3-4级,北风
2011-11-20,多云~晴,15,8,3-4级~微风,北风
2011-11-21,晴~多云,17,9,微风,东北风
2011-11-22,多云~晴,17,8,微风~3-4级,北风
2011-11-23,晴,16,6,微风,北风
2011-11-24,晴,16,6,微风,北风~东南风
2011-11-25,晴,17,9,微风,南风
2011-11-26,晴~多云,21,11,微风,南风
2011-11-27,晴~多云,23,12,微风,南风
2011-11-28,多云~阴,23,13,微风,东风~东北风
2011-11-29,阴~小雨,23,12,微风,东风~北风
2011-11-30,小雨~小到中雨,17,6,5-6级,北风
2012-04-01,大雨转小雨,19,13,小于3级,东风
2012-04-02,大雨转小雨,19,13,小于3级,东风
2012-04-03,大雨转小雨,19,13,小于3级,东风
2012-04-04,大雨转小雨,19,13,小于3级,东风
2012-04-05,大雨转小雨,18,14,小于3级,东风
2012-04-06,大雨转小雨,20,12,小于3级,东风
2012-04-07,大雨转小雨,18,14,小于3级,东风
2012-04-08,大雨转小雨,20,12,小于3级,东风
2012-04-09,大雨转小雨,18,14,小于3级,东风
2012-04-10,大雨转小雨,20,12,小于3级,东风
2012-04-11,大雨转小雨,19,13,小于3级,东风
2012-04-12,大雨转小雨,19,13,小于3级,东风
2012-04-13,阴转阵雨,22,13,小于3级,东南风
2012-04-14,阵雨,20,13,小于3级,东南风
2012-04-15,阵雨转多云,22,12,小于3级,东北风
2012-04-16,多云转阴,24,13,小于3级,东风
2012-04-17,阵雨转中雨,20,14,小于3级,东风
2012-04-18,阵雨转小到中雨,22,13,小于3级,南风
2012-04-19,多云转阵雨,25,15,小于3级,北风
2012-04-20,雷阵雨转中到大雨,27,16,小于3级,西南风
2012-04-21,多云转晴,28,13,3-4级,西北风
2012-04-22,晴转多云,29,16,小于3级,西风
2012-04-23,多云转雷阵雨,29,18,小于3级,东南风
2012-04-24,暴雨转小雨,23,17,4-5级~3-4级,南风
2012-04-25,多云转晴,27,16,3-4级~4-5级,西北风
2012-04-26,晴转多云,29,15,小于3级,东风
2012-04-27,多云转雷阵雨,29,16,小于3级,南风
2012-04-28,中雨,25,19,小于3级,东风
2012-04-29,阵雨转雷阵雨,25,18,小于3级,西南风
2012-04-30,暴雨转大雨,22,18,小于3级,东风
2012-02-01,阴,7,1,3-4级,北风
2012-02-02,阴~多云,5,1,3-4级,北风
2012-02-03,晴~多云,6,1,微风,北风
2012-02-04,多云~小雨,9,4,微风,东北风
2012-02-05,阴~中雨,10,4,微风,东风
2012-02-06,中到大雨~小到中雨,7,0,4-5级,北风
2012-02-07,阴~多云,4,-2,4-5级~微风,北风
2012-02-08,晴~多云,5,-1,微风,北风
2012-02-09,多云~小雨,5,2,微风,东风
2012-02-10,雨夹雪~小雨,4,1,微风,无持续风向
2012-02-11,阴~小雨,7,2,微风,北风
2012-02-12,小雨,8,4,微风,东北风
2012-02-13,小雨,10,5,微风,东风
2012-02-14,小雨~中雨,7,4,微风,东北风
2012-02-15,小雨,5,2,4-5级,北风
2012-02-16,小雨~阴,5,1,微风,东北风
2012-02-17,阴~多云,8,1,微风,北风
2012-02-18,多云,7,0,微风,北风
2012-02-19,晴~多云,8,1,微风,东风
2012-02-20,多云~小雨,10,5,微风,东北风
2012-02-21,小雨~小到中雨,12,6,微风,东北风
2012-02-22,中到大雨,13,8,微风,东风
2012-02-23,小到中雨~小雨,11,6,微风,东北风
2012-02-24,阴,6,2,微风,东北风
2012-02-25,小雨~阴,5,2,3-4级,东北风
2012-02-26,阴,4,0,微风,北风
2012-02-27,小雨,6,2,微风,北风
2012-02-28,雨夹雪~阴,5,2,3-4级,东北风~东南风
2012-02-29,小雨,9,6,微风,东风
2012-05-01,阴转多云,26,17,小于3级,北风
2012-05-02,多云,28,17,3-4级~小于3级,西北风
2012-05-03,阵雨转多云,25,18,3-4级~小于3级,北风
2012-05-04,多云转晴,31,19,小于3级,东风
2012-05-05,晴,33,20,小于3级,南风
2012-05-06,晴转多云,33,20,小于3级,西南风
2012-05-07,大雨,28,20,小于3级,北风
2012-05-08,多云,28,19,3-4级,西北风
2012-05-09,多云,27,17,小于3级,东北风
2012-05-10,多云转晴,28,17,小于3级,东风
2012-05-11,多云转阴,30,18,小于3级,东风
2012-05-12,暴雨,24,20,小于3级,南风
2012-05-13,阴转中雨,23,19,3-4级,东风
2012-05-14,阵雨转多云,27,18,小于3级,西北风
2012-05-15,多云,28,17,小于3级,南风
2012-05-16,多云转晴,31,19,小于3级,西南风
2012-05-17,晴转多云,30,20,小于3级,西南风
2012-05-18,阵雨转大雨,25,20,小于3级,南风
2012-05-19,阵雨转阴,23,16,小于3级,东风
2012-05-20,阴转多云,24,17,小于3级,东风
2012-05-21,多云转晴,26,17,小于3级,东风
2012-05-22,多云转阵雨,25,17,小于3级,东风
2012-05-23,中雨,23,18,小于3级,东南风
2012-05-24,中雨,22,19,小于3级,西风
